Address,Name,CUISINE DESCRIPTION
178 WYCKOFF AVE 11237,la gualacena bar & restaurant,Spanish
18 WEST   33 STREET 10001,foley's n.y. pub and restaurant,Irish
180 GRAND STREET 11211,iona's bar,American
1801 26TH RD 11102,astoria craft bar & kitchen,American
1802 CROSSBAY BOULEVARD 11693,grassy point bar & grill,American
1802 WESTCHESTER AVENUE 10472,las camelias bar & restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
18025 LINDEN BOULEVARD 11434,deja vu lounge & bar,American
1805 NOSTRAND AVE 11226,roof sports bar & grill,Caribbean
1810 FLATBUSH AVE 11210,casablanca bar & grill,Caribbean
1815 VICTORY BOULEVARD 10314,castelton corners pub,American
182 W 4TH ST 10014,slaughtered lamb pub,American
183 BLEEKER STREET 10012,bar    1849     grill,American
183 WEST   10 STREET 10014,bar  sardine,Japanese
18301 HORACE HARDING EXPRESSWAY 11365,emerald pub,American
184 8TH AVE 10011,chuck and blade - buns bar,Other
184 KENT AVE 11249,la nonna ristorante bar enoteca,Italian
18402 HORACE HARDING EXPY 11365,mian noodle bar,Asian
18417 JAMAICA AVENUE 11423,guayacan bar & lounge,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
18435 JAMAICA AVENUE 11423,macumba bar & restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
185 CHRISTOPHER STREET 10014,rock bar,American
18501 UNION TPKE 11366,meatos grill bar,Jewish/Kosher
18615 UNION TPKE 11366,sizzle shawarma & falafel bar,Jewish/Kosher
18704 HILLSIDE AVENUE 11432,la verite restaurant bar,American
188 BEDFORD AVENUE 11249,greenpoint tavern,American
188 GRAND ST 11211,bar omar,French
1883 VICTORY BOULEVARD 10314,the beer garden,American
189 WILSON AVENUE 11237,el castillo bar restaurant,Spanish
19 E 26TH ST 10010,black barn,American
19 WEST   44 STREET 10036,kellari taverna,Greek
1900 BROADWAY 10025,bar boulud,American
1901 EMMONS AVENUE 11235,momo hibachi steakhouse & bar,Japanese
1915 CONEY ISLAND AVENUE 11230,el tequilero ii bar,Mexican
192 3 AVENUE 10003,triona's bar restaurant,Irish
19202 NORTHERN BOULEVARD 11358,fresco bar cafe restaurant,Greek
1933 37 STREET 11105,singlecut beersmiths,American
1949 RICHMOND AVE 10314,ambiance wine & hookah lounge,Italian
196 2ND AVENUE 10003,juke bar,American
1975 VICTORY BOULEVARD 10314,legend's pub,American
198 UNION AVENUE 11211,evilolive pizza bar,Pizza
199 RUSSELL ST 11222,brooklyn ate bar,American
2 EAST   55 STREET 10022,the king cole bar and salon,American
2 LEXINGTON AVENUE 10010,rose & jade bars,American
2 PENN PLAZA 10121,"chop-n-toss cafe bar, red mango",American
2 PENN PLZ 10121,the pennsy bar,American
2 SNEDEN AVENUE 10312,play sports bar,American
2 W 32ND ST 10001,mandoo bar,Korean
2 WEST   32 STREET 10001,kirakuya sake bar,Asian
2 WEST MOUNT EDEN AVENUE 10452,27 sports bar & cafe,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
20 EAST   76 STREET 10021,cafe boulud/bar pleiades,French
20 ELLIS STREET 10307,pinot's pallette,"Bottled beverages, including water, sodas, juices, etc."
20 ST MARKS PLACE 10003,grassroot tavern,American
200 5 AVENUE 11217,200 fifth avenue restaurant & sports bar,American
200 E 60TH STREET 10022,anassa taverna,American
200 NORTH   14 STREET 11249,the gutter bar,American
2001 STILLWELL AVENUE 11223,roma bar & grill,Eastern European
2007 127 STREET 11356,view de point/level royal bar,Asian
201 PARK AVE S 10003,irvington bar and restaurant,American
20103 MURDOCK AVENUE 11412,729 bar & grill,American
2014 29 STREET 11105,gussy's bar,American
2017 EMMONS AVENUE 11235,randazzo's clam bar,Seafood
202 EAST    7 STREET 10009,sake bar satsko,Japanese
202 WEST   36 STREET 10018,the pig & whistle pub,American
